obs,btce_ETH_buy,btce_ETH_sell,btce_ETH_depth_bid,btce_ETH_depth_ask,K_bid,k_ask,k_date,k_time,k_bid_vol,k_ask_vol,uc_trans
450,0.02391,0.02373,11967.68264175,7253.14104761,0.02375,0.023788,2016-06-03,17:44:42,77.217,77.04,42955705

451,0.02391,0.02378,11347.9081357,7180.21025037,0.023788,0.02384,2016-06-03,17:44:50,0.001,10.466,42955705

452,0.02392,0.02378,11829.02158222,7316.60162681,0.023803,0.02392,2016-06-03,17:44:59,186.11,91.5,42955705

453,0.02392,0.02378,11797.56030173,7331.89138249,0.023808,0.023882,2016-06-03,17:45:08,73.182,23.94,42955705

454,0.02391,0.02378,11978.10301332,5783.73524377,0.023843,0.023877,2016-06-03,17:45:18,128.96,73.112,42955705

455,0.02392,0.0238,11977.05404332,5961.87001375,0.023848,0.023877,2016-06-03,17:45:26,72.563,73.112,42955705

456,0.02392,0.0238,11961.41820943,5969.67621753,0.023843,0.023877,2016-06-03,17:45:35,128.96,94.861,42955705

457,0.02394,0.0238,11961.41820943,5969.67621753,0.023843,0.023877,2016-06-03,17:45:43,128.96,94.861,42955705

458,0.02394,0.0238,11961.41820943,6089.81843216,0.023843,0.023877,2016-06-03,17:45:52,128.96,94.861,42955705

459,0.02394,0.0238,11667.41820943,6089.81843216,0.023843,0.023877,2016-06-03,17:46:00,128.96,94.861,42955705

460,0.02394,0.0238,11967.41820943,6089.81843216,0.023843,0.023877,2016-06-03,17:46:09,128.96,94.861,42955705

461,0.02394,0.0238,11967.41820943,6089.81843216,0.023843,0.023877,2016-06-03,17:46:17,128.96,94.861,42955705

462,0.02394,0.0238,11967.41820943,6089.81843216,0.023843,0.023877,2016-06-03,17:46:25,128.96,94.861,42955705

463,0.02394,0.0238,11973.45369717,6087.45490503,0.023843,0.023877,2016-06-03,17:46:33,128.96,94.861,42955705

464,0.02394,0.0238,11988.41525493,6071.97200708,0.023848,0.023901,2016-06-03,17:46:41,73.09,21.599,42955705

465,0.02394,0.0238,11935.11525493,5923.80599908,0.023848,0.023895,2016-06-03,17:46:49,73.09,72.749,42955705

466,0.024,0.02381,11988.58402622,5941.67064615,0.023848,0.023891,2016-06-03,17:46:58,73.09,72.406,42955705

467,0.02397,0.02379,12147.88208458,6088.86318606,0.023848,0.023891,2016-06-03,17:47:07,73.09,94.16,42955705

468,0.02397,0.02379,12171.23557783,5929.53106864,0.023848,0.023891,2016-06-03,17:47:15,73.09,94.16,42955705

469,0.02398,0.02379,11979.11244783,6084.36732673,0.023848,0.023891,2016-06-03,17:47:24,73.09,72.406,42955705

