obs,btce_ETH_buy,btce_ETH_sell,btce_ETH_depth_bid,btce_ETH_depth_ask,K_bid,k_ask,k_time,k_bid_vol,k_ask_vol,uc_trans
82,0.02375,0.02364,16001.08915247,1985.9652650599996,0.023671,0.0237,2016-06-11 09:08:33,71.708,92.101,211000.0
83,0.02375,0.02364,16001.08915247,1985.9652650599996,0.023676,0.0237,2016-06-11 09:08:42,72.231,92.101,211000.0
84,0.02375,0.02364,16001.08915247,1985.9652650599996,0.023676,0.0237,2016-06-11 09:08:50,72.231,92.101,211000.0
85,0.02375,0.02364,16001.08915247,1985.9652650599996,0.023676,0.0237,2016-06-11 09:08:58,72.231,92.101,211000.0
86,0.02375,0.02364,16001.08915247,1985.9652650599996,0.023677,0.0237,2016-06-11 09:09:06,33.417,92.101,211000.0
87,0.02375,0.02364,16001.08915247,1985.9652650599996,0.023677,0.0237,2016-06-11 09:09:14,33.417,92.101,211000.0
88,0.02375,0.02364,16001.08915247,1985.9652650599996,0.023677,0.0237,2016-06-11 09:09:22,16.702,92.101,211000.0
89,0.02375,0.02364,16001.08915247,1985.9652650599996,0.02368,0.0237,2016-06-11 09:09:31,72.111,92.101,211000.0
90,0.02375,0.02364,16001.08915247,1985.9652650599996,0.023667,0.0237,2016-06-11 09:09:39,31.549,92.101,211000.0
91,0.02375,0.02364,16001.08915247,1985.9652650599996,0.023676,0.0237,2016-06-11 09:09:48,72.09,92.101,211000.0
92,0.02375,0.02364,15949.400767060002,1985.9652650299997,0.023676,0.0237,2016-06-11 09:09:55,72.09,92.101,211000.0
93,0.02375,0.02364,15949.400767060002,1985.9652650299997,0.023677,0.0237,2016-06-11 09:10:04,20.018,92.101,211000.0
94,0.02375,0.02364,15949.400767060002,1985.9652650299997,0.023677,0.0237,2016-06-11 09:10:12,20.018,92.101,211000.0
95,0.02375,0.02364,15949.400767060002,1985.9652650299997,0.023672,0.0237,2016-06-11 09:10:20,34.333,92.101,211000.0
96,0.02375,0.02364,15949.400767060002,1985.9652650299997,0.023676,0.0237,2016-06-11 09:10:28,71.812,92.101,211000.0
97,0.02375,0.02364,15949.400767060002,1988.1452650299998,0.023677,0.0237,2016-06-11 09:10:37,32.079,92.101,211000.0
98,0.02375,0.02364,15949.400767060002,1988.1452650299998,0.023677,0.0237,2016-06-11 09:10:45,12.001,92.101,211000.0
99,0.02375,0.02364,15949.400767060002,1988.1452650299998,0.023672,0.0237,2016-06-11 09:10:53,12.001,92.101,211000.0
100,0.02375,0.02364,15949.400767060002,1988.1452650299998,0.023676,0.0237,2016-06-11 09:11:01,71.846,92.101,211000.0
101,0.02375,0.02364,16001.067256490001,1980.3778150699998,0.023677,0.0237,2016-06-11 09:11:10,31.274,92.101,211000.0
102,0.02375,0.02364,16001.067256490001,1980.3778150699998,0.023677,0.0237,2016-06-11 09:11:18,31.274,92.101,211000.0
