obs,btce_ETH_buy,btce_ETH_sell,btce_ETH_depth_bid,btce_ETH_depth_ask,K_bid,k_ask,k_time,k_bid_vol,k_ask_vol,uc_trans
61,0.02265,0.0225,8833.082113370001,3468.7673014700003,0.022542,0.02265,2016-06-12 10:20:11,1.16,45.634,211000.0
62,0.02264,0.02251,8830.373498370001,3433.0897227400005,0.022542,0.02265,2016-06-12 10:20:19,1.16,45.634,211000.0
63,0.02264,0.02253,8769.69863133,3417.97433391,0.022542,0.02265,2016-06-12 10:20:26,1.16,45.634,211000.0
64,0.02264,0.02253,8818.89494145,3404.918325100001,0.022588,0.02265,2016-06-12 10:20:34,68.337,45.634,211000.0
65,0.02264,0.02248,8807.14650859,3417.9743339,0.022588,0.02265,2016-06-12 10:20:41,68.337,20.44,211000.0
66,0.02264,0.0225,8853.71798762,3417.9743339,0.022579,0.022649,2016-06-12 10:20:50,9.52,25.194,211000.0
67,0.02264,0.0225,8849.722054310001,3404.130186160001,0.022583,0.022649,2016-06-12 10:20:58,68.358,20.436,211000.0
68,0.02264,0.02251,8844.044334310001,3404.130186160001,0.022542,0.022648,2016-06-12 10:21:05,10.15,25.194,211000.0
69,0.02264,0.02251,8844.044334310001,3329.2301861600004,0.022548,0.022647,2016-06-12 10:21:13,6.69,3.156,211000.0
70,0.02264,0.02251,8844.044334310001,3404.13018616,0.022548,0.022646,2016-06-12 10:21:21,6.69,25.194,211000.0
71,0.02264,0.02245,9509.44646766,3359.9194097300006,0.022547,0.02262,2016-06-12 10:21:28,68.566,20.436,211000.0
72,0.02262,0.02245,8966.927009230001,3441.2283852300006,0.022547,0.02262,2016-06-12 10:21:37,68.566,20.436,211000.0
73,0.02261,0.02245,8963.64435889,3453.327909490001,0.022547,0.022619,2016-06-12 10:21:44,68.566,3.156,211000.0
74,0.02261,0.02245,8971.930684690002,3419.3586824200006,0.022547,0.022618,2016-06-12 10:21:52,68.566,25.194,211000.0
75,0.02261,0.02245,8971.930684690002,3416.7272045600002,0.022547,0.022617,2016-06-12 10:22:00,68.566,23.609,211000.0
76,0.02261,0.02248,9264.38398486,3374.9745563300003,0.022548,0.022616,2016-06-12 10:22:08,160.108,25.194,211000.0
77,0.02264,0.0225,9124.010768880002,3413.034989280001,0.022559,0.022601,2016-06-12 10:22:18,68.606,20.454,211000.0
78,0.02265,0.0225,9104.304459060002,3180.692697170001,0.022559,0.022601,2016-06-12 10:22:26,68.606,20.454,211000.0
79,0.02265,0.0225,9104.304459060002,3409.9816671700005,0.022559,0.022601,2016-06-12 10:22:34,68.606,20.454,211000.0
80,0.02264,0.0225,9107.513169430002,3419.8943287700004,0.022559,0.022601,2016-06-12 10:22:42,68.606,20.454,211000.0
81,0.02265,0.02252,8987.604773300001,3334.059733390001,0.02259,0.022601,2016-06-12 10:22:50,1100.0,20.454,211000.0
82,0.02265,0.02252,8938.3611383,3343.54014715,0.02259,0.022643,2016-06-12 10:22:58,1050.0,25.194,211000.0
83,0.02265,0.02252,8952.885061390001,3321.1699371700006,0.022595,0.02263,2016-06-12 10:23:06,68.263,0.001,211000.0
84,0.02265,0.02252,8947.885061390001,3382.4492864500003,0.022595,0.02263,2016-06-12 10:23:14,68.263,20.404,211000.0
85,0.02265,0.02252,8947.885061390001,3376.3819184900003,0.022595,0.022629,2016-06-12 10:23:22,68.263,12.733,211000.0
86,0.02265,0.02247,8949.990515810001,3356.88767152,0.022595,0.022629,2016-06-12 10:23:31,68.263,20.404,211000.0
87,0.02265,0.02249,8990.21129889,3394.72117444,0.022595,0.022629,2016-06-12 10:23:38,68.263,20.404,211000.0
88,0.02265,0.02249,8985.087238569999,3160.4322044400005,0.022595,0.022629,2016-06-12 10:23:46,68.263,20.404,211000.0
89,0.02265,0.02249,8993.36071443,3351.8954909600006,0.022577,0.022651,2016-06-12 10:23:54,68.196,12.733,211000.0
90,0.02265,0.02249,8986.246491049998,3384.0836455600006,0.022578,0.022649,2016-06-12 10:24:03,8.12,12.733,211000.0
91,0.02265,0.0225,8694.361932580001,3496.9914457000004,0.022578,0.022649,2016-06-12 10:24:10,8.12,12.733,211000.0
92,0.02265,0.0225,8993.87345785,3501.9914457000004,0.022582,0.022651,2016-06-12 10:24:19,68.344,25.194,211000.0
93,0.02265,0.0225,8993.78934091,3426.3447092800006,0.022582,0.022651,2016-06-12 10:24:27,68.344,31.057,211000.0
94,0.02265,0.0225,8994.78934091,3426.3447092800006,0.02254,0.02265,2016-06-12 10:24:35,68.571,12.733,211000.0
